Mean,Deviation,Contrast,Complexity_Entropy,Sharpness_LaplacianVar,Edge_Strength_Sobel,Noise_Level_Sigma,patient_id,modality,shape,voxel_spacing_mm
0.2565807491920204,0.3509221562012621,1.0,4.161625353773103,0.0045311446990028,0.0171550579907134,0.0004647073152287,BraTS20_Training_327,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1596530421601805,0.2763085854942391,1.0,2.586335347633052,0.015272432869237,0.0242419045091675,0.0084328660796401,BraTS20_Training_034,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1401254188441295,0.2391490285248246,1.0,3.1512504414535454,0.0106482051024886,0.0264187116943264,0.0133199713240132,BraTS20_Training_016,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1689138843366148,0.2681167628624482,1.0,4.9000469884550935,0.0220152288018465,0.0362963153112921,0.007693469582462,BraTS20_Training_346,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1263107944361202,0.21649590173995,1.0,3.0779534375277247,0.0167070532972931,0.0287817230620326,0.02074135906323,BraTS20_Training_058,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1505723100933794,0.2530816612809075,1.0,3.671390692284785,0.0101761888656854,0.0241063207962814,0.0079432141909372,BraTS20_Training_240,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1478419750207297,0.2534675483805926,1.0,2.977312240121973,0.0229791535172396,0.0338069995529348,0.0211531834081225,BraTS20_Training_077,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1032134136895139,0.1876082255238649,1.0,4.078787494442112,0.0039775867524903,0.021233430949272,0.0068788383025721,BraTS20_Training_120,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1563074126101223,0.2529160666459559,1.0,3.9121479274784536,0.0211526293818232,0.0273179767727789,0.0117937113362088,BraTS20_Training_306,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.120275862220813,0.223389975749194,1.0,3.8928194077206735,0.0142074282847104,0.0337912650362126,0.0120815657680944,BraTS20_Training_127,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1658763751050199,0.2883363849622914,1.0,3.7167637725634894,0.0050824791900678,0.0179809318551781,0.0060446747382307,BraTS20_Training_234,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1196161435389133,0.2103355429083863,1.0,4.123614609306874,0.0126847208356124,0.0274557774044554,0.0086603779196216,BraTS20_Training_040,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.0789315960818771,0.1693901159178975,1.0,3.2935461374072093,0.0095961293527467,0.0267576430940992,0.0139712760739073,BraTS20_Training_154,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1166059027777777,0.2197404319786053,1.0,2.6304608037093486,0.0116546046555111,0.0243036901602119,0.0136023995151996,BraTS20_Training_056,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.0977406012808349,0.1955716443380613,1.0,3.45986444680944,0.0117848067870718,0.0272484490609057,0.0130593506665787,BraTS20_Training_156,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1330643125323666,0.2276387465479533,1.0,3.951873472537576,0.0072060759406557,0.0169121615085041,0.0082446661506731,BraTS20_Training_279,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1551269758251976,0.2619297158657155,1.0,3.0775308890070394,0.006227233392467,0.0229095780033248,0.0133620694334219,BraTS20_Training_001,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1348793479596853,0.2302202652736856,1.0,3.620243566787565,0.0119989478641849,0.0226533859248293,0.0102363619056742,BraTS20_Training_232,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1695308908448868,0.2721484041683126,1.0,4.192415558617153,0.0065553791730876,0.0238800474999216,0.0088268754818869,BraTS20_Training_334,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1230335355831465,0.2162463812770369,1.0,3.644435825008953,0.0144081576855574,0.034752487979013,0.0143296878368495,BraTS20_Training_102,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.146623235796476,0.2492724767546308,1.0,2.957805066958797,0.0205367763685387,0.0291637413389826,0.0217089384641066,BraTS20_Training_010,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1396335877337734,0.2433194975140539,1.0,3.763808261615401,0.0156888240531974,0.0272872301480058,0.0118239277866051,BraTS20_Training_181,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1211399413500287,0.2194119359450834,1.0,3.142250492100038,0.0135658826877529,0.027243199131977,0.0153952965959615,BraTS20_Training_073,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1275894977647387,0.2323346408528179,1.0,3.5252362113229307,0.0042841677494786,0.0153304410552924,0.0060658298308204,BraTS20_Training_238,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1207644216605949,0.220476200405679,1.0,3.6093118519847542,0.0055304382316975,0.0157645253574152,0.0118319811508421,BraTS20_Training_256,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1551521823712507,0.2640986287913082,1.0,3.2717822385095894,0.0038260807015301,0.0184123407184827,0.0076718642214977,BraTS20_Training_138,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
