Mean,Deviation,Contrast,Complexity_Entropy,Sharpness_LaplacianVar,Edge_Strength_Sobel,Noise_Level_Sigma,patient_id,modality,shape,voxel_spacing_mm
0.30167492650291244,0.4092602282087585,1.0,4.075348678379639,0.006182402817278971,0.020463094560164583,0.00533129089333967,BraTS20_Training_327,T1,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.2614736587645274,0.361668076377785,1.0,4.503251992346895,0.009162084537468026,0.027364234845286734,0.007878594752880858,BraTS20_Training_327,T1ce,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.25658074919202045,0.3509221562012621,1.0,4.161625353773103,0.004531144699002837,0.017155057990713443,0.0004647073152287198,BraTS20_Training_327,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1821095176159182,0.2681547056630554,1.0,4.147806791184,0.004622148606374116,0.01950953272438577,0.006134961001004151,BraTS20_Training_327,FLAIR,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1955417203213147,0.33386734491949915,1.0,2.9340864268422395,0.016527330740312995,0.025519930244879942,0.017117828222190698,BraTS20_Training_034,T1,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.20015130537974682,0.33948477996836957,1.0,2.9035201965046085,0.025817851317007603,0.026336968174106235,0.020905360284362032,BraTS20_Training_034,T1ce,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.1596530421601805,0.27630858549423915,1.0,2.5863353476330517,0.015272432869237091,0.024241904509167526,0.008432866079640144,BraTS20_Training_034,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.17249589002267576,0.29839798620314173,1.0,2.738242626224988,0.03236346487574622,0.03487132514986008,0.037040564078770134,BraTS20_Training_034,FLAIR,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.22702051942394422,0.3523052324947182,1.0,3.3475856580713406,0.013689469669719758,0.02637395188825475,0.012672616943774126,BraTS20_Training_016,T1,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.22986632799671594,0.355550822909911,1.0,3.3691606702127626,0.02835893275815633,0.0304591933917081,0.02355706343246504,BraTS20_Training_016,T1ce,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
0.14012541884412955,0.23914902852482461,1.0,3.1512504414535454,0.010648205102488676,0.026418711694326438,0.0133199713240132,BraTS20_Training_016,T2,"(240, 240, 155)","(np.float32(1.0), np.float32(1.0), np.float32(1.0))"
